Function,Category,ID,Column,Current Profile,Target Profile,GDPR Articles,Comments
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P8,"Response and recovery plans are tested. ",No,No,"Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 32(1)(c): Security of Processing - Ability to restore data",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P9,"Privacy procedures are included in human resources practices (e.g., deprovisioning, personnel screening).",No,No,"Art. 28(3)(b): Processor ensures person processing data are governed by contract or law to the confidentiality of data, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,"Data Protection Policies, Processes, and Procedures",PR.PO-P10,A vulnerability management plan is developed and implemented.,No,No,"Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2)(d): Security of Processing - Assess appropriate level of security",
Protect-P,"Identity Management, Authentication, and Access Control",PR.AC-P1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized individuals, processes, and devices.",No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,"Identity Management, Authentication, and Access Control",PR.AC-P2,Physical access to data and devices is managed.,No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,"Identity Management, Authentication, and Access Control",PR.AC-P3,Remote access is managed.,No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,"Identity Management, Authentication, and Access Control",PR.AC-P4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties.",No,No,"Art. 5(1)(b): Purpose Limitation, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,"Identity Management, Authentication, and Access Control",PR.AC-P5,"Network integrity is protected (e.g., network segregation, network segmentation).",No,No,"Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,"Identity Management, Authentication, and Access Control",PR.AC-P6,"Individuals and devices are proofed and bound to credentials, and authenticated commensurate with the risk of the transaction (e.g., individual",No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,Data Security,PR.DS-P1,Data-at-rest are protected.,No,No,"Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,Data Security,PR.DS-P2,Data-in-transit are protected.,No,No,"Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,Data Security,PR.DS-P3,"Systems/products/services and associated data are formally managed throughout removal, transfers, and disposition.",No,No,"Art. 11(1): Processing not requiring identification, Art. 28(3)(g): Processor obligation to delete data at end of contract, Art. 30(1)(f): Records of processing- data retention/deletion schedule, Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation, Art. 5(1)(f): Integrity and Confidentiality, Art. 6(4)(e): Processing in the public interest",
Protect-P,Data Security,PR.DS-P4,"Adequate capacity to ensure availability is maintained. ",No,No,,
Protect-P,Data Security,PR.DS-P5,Protections against data leaks are implemented.,No,No,"Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,Data Security,PR.DS-P6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity. ",No,No,"Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,Data Security,PR.DS-P7,"The development and testing environment(s) are separate from the production environment. ",No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,Data Security,PR.DS-P8,Integrity checking mechanisms are used to verify hardware integrity.,No,No,"Art. 32(1)(d): Security of Processing - Regular testing of effectiveness of controls, Art. 32(2): Security of Processing - Assessing appropriate level of security, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,Maintenance,PR.MA-P1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools.",No,No,Art. 32(1)(b): Security of Processing - ensure ongoing CIA,
Protect-P,Maintenance,PR.MA-P2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access.",No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,Protective Technology,PR.PT-P1,Removable media is protected and its use restricted according to policy.,No,No,"Art. 32(1)(a): Security of Processing - Pseudonymization, Art. 5(1)(f): Integrity and Confidentiality",
Protect-P,Protective Technology,PR.PT-P2,"The principle of least functionality is incorporated by configuring systems to provide only essential capabilities. ",No,No,"Art. 25(2): DPbDD Default, Art. 5(1)(b): Purpose Limitation, Art. 5(1)(c): Data Minimization, Art. 5(1)(e): Storage Limitation",
Protect-P,Protective Technology,PR.PT-P3,Communications and control networks are protected.,No,No,Art. 5(1)(f): Integrity and Confidentiality,
Protect-P,Protective Technology,PR.PT-P4,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",No,No,"Art. 32(1)(b): Security of Processing - ensure ongoing CIA, Art. 32(1)(c): Security of Processing - Ability to restore data",
